Sujeito,Genero,Grau_de_Instruçao,N_Filhos,Idade,Altura,Salario
1,M,Superior,1,31,160,"4,1"
2,F,Superior,0,25,160,"2,65"
3,M,Superior,0,33,157,"4,7"
4,M,Ens Fundamental,0,20,163,"1,45"
5,F,Ensino Médio,0,23,163,"1,85"
6,F,Superior,2,37,155,"2,2"
7,M,Ens Fundamental,0,38,165,"2,35"
8,M,Superior,0,37,168,"2,7"
9,M,Superior,1,34,163,"2,9"
10,M,Ensino Médio,2,40,170,"1,6"
11,F,Superior,0,41,170,3
12,F,Ensino Médio,3,46,157,"3,45"
13,F,Ensino Médio,0,26,165,1
14,F,Ensino Médio,0,41,160,"1,7"
15,F,Ensino Médio,1,43,173,"1,85"
16,M,Superior,1,27,175,"2,1"
17,M,Superior,0,26,145,"3,2"
18,M,Superior,0,42,165,"5,8"
19,F,Ensino Médio,2,43,157,"4,3"
20,M,Ensino Médio,2,30,163,"2,75"
21,M,Ens Fundamental,2,35,168,"3,4"
22,F,Ens Fundamental,0,33,183,"2,05"
23,F,Ensino Médio,0,30,175,"2,3"
24,F,Superior,2,32,185,"3,3"
25,M,Ensino Médio,4,29,173,"3,65"
26,F,Ens Fundamental,1,40,173,"3,65"
27,F,Superior,1,36,191,"4,15"
28,M,Ens Fundamental,0,34,188,"1,9"
29,M,Superior,0,31,193,"3,1"
30,F,Superior,1,35,170,4
