Desporto,2Distancia_km,2Elevacao,Tempo_Minutos,Cal_Tempo,Cal_Distancia,Cal_Tempo_e_Distancia,,,,,,
Corrida,8,47000,53,0,61,9000,621,58340,619,83130,619,66160
Corrida,8,72000,56,0,69,1000,690,8870,638,9800,636,7150
Corrida,7,55000,111,0,71,1000,709,16210,552,61000,546,74990
Corrida,10,35000,94,0,79,4000,788,47570,757,19650,755,90400
Corrida,2,12000,6,0,14,4000,168,90810,155,85840,155,38790
Corrida,2,71000,23,0,18,5000,207,53170,198,96770,198,65180
Corrida,3,17000,25,0,22,7000,248,6270,232,57830,231,99900
Corrida,3,27000,25,0,25,7000,276,67280,239,88500,238,51840
Corrida,9,11000,32,0,26,2000,281,28220,666,59390,680,68290
Corrida,4,41000,16,0,27,8000,297,1780,323,18090,324,11440
Corrida,3,69000,40,0,28,5000,303,5770,270,57300,269,35730
Corrida,3,46000,13,0,28,5000,303,37560,253,76760,251,92490
Corrida,4,68000,31,0,29,4000,312,11750,342,90890,344,810
Corrida,4,4000,10,0,30,1000,318,47530,296,14630,295,29870
Corrida,3,97000,13,0,32,0,336,75400,291,3160,289,32280
Corrida,4,4000,28,0,32,4000,340,72760,322,45020,321,74550
Corrida,4,76000,13,0,32,4000,340,88660,348,75420,349,680
Corrida,5,12000,19,0,33,8000,354,7900,375,5820,375,78760
Corrida,5,25000,20,0,34,0,355,50950,384,55690,385,58140
Corrida,5,13000,23,0,35,5000,370,29140,375,78890,375,94730
Corrida,4,42000,22,0,36,1000,375,85450,323,91160,321,96530
Corrida,5,33000,27,0,36,2000,376,33130,390,40220,390,87310
Corrida,5,94000,26,0,36,2000,376,33130,434,97280,437,7580
Corrida,5,88000,45,0,36,3000,378,7970,430,58880,432,46680
Corrida,5,27000,27,0,36,5000,379,98700,386,1820,386,19380
Corrida,5,19000,12,0,36,8000,382,53020,380,17290,380,4060
Corrida,5,41000,25,0,36,9000,383,48380,396,24750,396,66880
Corrida,5,28000,25,0,37,1000,384,91430,386,74880,386,76950
Corrida,5,13000,28,0,37,1000,385,7330,375,78890,375,40230
Corrida,4,95000,27,0,37,1000,385,70910,362,63690,361,74530
Corrida,6,19000,28,0,37,6000,390,60,453,23950,455,50740
Corrida,5,2000,30,0,37,7000,390,95420,367,75150,366,85390
Corrida,4,43000,36,0,38,0,393,65630,324,64220,322,6640
Corrida,5,12000,30,0,38,4000,397,31200,375,5820,374,19370
Corrida,5,42000,21,0,38,7000,400,33200,396,97820,396,80500
Corrida,5,71000,47,0,38,8000,401,60360,418,16750,418,72340
Corrida,5,4000,58,0,39,1000,404,30560,395,51680,395,14370
Corrida,5,11000,19,0,39,2000,405,10040,374,32750,373,14910
Corrida,4,32000,31,0,39,4000,407,16660,316,60490,313,23660
Corrida,5,47000,51,0,39,6000,409,7400,400,63150,400,26980
Corrida,5,35000,51,0,39,7000,409,86870,391,86350,391,15150
Corrida,5,12000,56,0,39,7000,410,50450,375,5820,373,70730
Corrida,5,29000,45,0,39,8000,411,29920,387,47950,386,55420
Corrida,5,79000,31,0,40,7000,419,24650,424,1280,424,13230
Corrida,5,45000,44,0,40,8000,420,83590,399,17020,398,32140
Corrida,5,95000,36,0,41,2000,424,80950,435,70350,436,4600
Corrida,5,7000,55,0,41,6000,428,62420,371,40490,369,25220
Corrida,5,82000,45,0,42,4000,435,93570,426,20480,425,78930
Corrida,5,72000,37,0,43,3000,444,20080,418,89820,417,91030
Corrida,5,69000,30,0,43,5000,446,42610,416,70620,415,55600
Corrida,5,41000,22,0,43,9000,450,24070,396,24750,394,20760
Corrida,9,72000,33,0,44,1000,451,67120,711,16460,720,60370
Corrida,6,53000,23,0,44,1000,451,83020,478,8210,478,98020
Corrida,9,8000,60,0,45,1000,461,84370,717,990,726,28800
Corrida,6,25000,61,0,45,6000,466,77100,457,62350,457,22160
Corrida,6,5000,23,0,45,8000,468,4260,443,1010,442,2630
Corrida,6,3000,23,0,45,8000,468,51940,441,54880,440,49380
Corrida,5,93000,48,0,45,9000,469,63200,434,24210,432,87860
Corrida,6,0,38,0,46,3000,472,81090,439,35680,438,6330
Corrida,6,82000,29,0,46,6000,475,51300,499,27140,500,7230
Corrida,6,36000,36,0,46,6000,475,67190,465,66080,465,22510
Corrida,6,73000,39,0,46,9000,478,85080,492,69540,493,13250
Corrida,5,61000,110,0,47,2000,482,2970,410,86080,408,18400
Corrida,6,43000,34,0,48,8000,497,28850,470,77540,469,73000
Corrida,6,14000,89,0,48,9000,498,8320,449,58610,447,73550
Corrida,6,12000,64,0,49,1000,499,99050,448,12480,446,15030
Corrida,6,44000,41,0,50,6000,514,29560,471,50610,469,86040
Corrida,7,79000,45,0,50,6000,514,29560,570,14600,572,11240
Corrida,7,32000,36,0,51,5000,522,24280,535,80470,536,22060
Corrida,6,74000,33,0,51,8000,525,10380,493,42610,492,18460
Corrida,6,15000,90,0,51,8000,525,89860,450,31680,447,46740
Corrida,6,53000,93,0,52,1000,528,44170,478,8210,476,15570
Corrida,9,86000,39,0,52,9000,536,38890,721,39390,728,8420
Corrida,7,78000,45,0,54,5000,551,32980,569,41530,569,98960
