Apoia privatizações das empresas brasileiras?,Lula deve ser solto,O impeachment de Dilma foi um golpe?,Legalização do aborto,Políticas de ações afirmativas (cotas),A favor da reforma agrária,Todos os brasileiro devem alcançar suas conquistas através da meritocracia,Apoia a legalização do porte de armas,Apoia a redução da maioridade penal,Apoia a laicidade do Estado,Apoia a diminuição do Estado,As Universidades são um gasto público?,A favor do foro privilegiado?,A favor de uma reforma política?,A favor de uma diminuição de regalias para os políticos?
1,0,0,0.5,1,1,0.5,0.5,1,1,1,0,0,1,1
0.5,1,1,0.5,1,0.5,1,0,1,1,0.5,0,0,1,1
1,0,0,1,0.5,0.5,1,1,1,1,1,0,0,0,1
1,0,1,0,1,1,1,0,0,1,1,0,1,1,1
0,0,1,0,0,0,1,1,1,1,0,0,0,1,1
0,1,1,1,1,1,0.5,0,0,1,0,0,0.5,1,1
0,0.5,1,1,1,0,0,0,0.5,1,0,0,1,1,1
0.5,1,1,1,0.5,1,1,0.5,1,1,1,0,0,1,0
0.5,0,1,0,0.5,0.5,0,0,0,1,1,0,0,1,1
1,0,0,1,0,1,1,1,1,1,1,1,0,1,1
1,0,1,1,1,1,0,0,0,1,1,1,0,1,1
0.5,0,0.5,0,0.5,0,1,0,1,0.5,1,0,0,1,1
0.5,0.5,1,1,0.5,0,1,0,0.5,1,0.5,0,0,1,1
0.5,0.5,1,0,1,0.5,0,0,0,1,0,0,0,1,1
0,1,1,1,1,1,1,0,0,1,1,0,0,1,1
